Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Episode Title,Anchor,Industry,Business Description,Company Website,Started in,Number of Presenters,Male Presenters,Female Presenters,Transgender Presenters,Couple Presenters,Pitchers Average Age,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,EBITDA,Cash Burn,SKUs,Has Patents,Bootstrapped,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of Sharks in Deal,Deal Has Conditions,Royalty Deal,Advisory Shares Equity,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Ashneer Investment Amount,Ashneer Investment Equity,Ashneer Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Invested Guest Name,All Guest Names,Namita Present,Vineeta Present,Anupam Present,Aman Present,Peyush Present,Amit Present,Ashneer Present,Guest Present
1,TheStatePlate,20,63,20-Dec-21,04-Feb-22,14-Jan-22,A Variety Of Ideas,Rannvijay Singh,Food,Delicacies,https://thestateplate.com/,2020,2,1,1,,0,Young,"Bangalore,Kolkata","Karnataka,West Bengal",,40,34,,,yes,400,,,65,2,3250,1,1,40,3,25,,1333,1,,,,,,,,,,,,,,,,40,3,25,,,,,,,,,,,,1,,1,1,1,,1,
1,Alpino,25,82,20-Dec-21,04-Feb-22,21-Jan-22,An Ocean Of Opportunities,Rannvijay Singh,Food,Roasted Peanut butter Products,https://alpino.store/,2016,4,4,,,0,Young,Surat,Gujarat,,,38,,,yes,,,,150,2,7500,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ghazal Alagh,1,1,1,,1,,,1
1,GrowFitter,32,106,20-Dec-21,04-Feb-22,01-Feb-22,The Road To Success,Rannvijay Singh,Technology/Software,Rewards App,https://www.growfitter.com/,2021,2,2,,,0,Middle,Mumbai,Maharashtra,170,,,,,yes,,,,50,1,5000,1,1,50,2,,,2500,1,yes,,,,,,,,,,,,50,2,,,,,,,,,,,,,,,,1,,1,1,1,,1,
1,ZyppElectric,0,138,20-Dec-21,04-Feb-22,,Unseen,Rannvijay Singh,Vehicles/Electrical Vehicles,Electrical Vehicles,https://zypp.app/,2017,2,1,1,,1,Young,Gurgaon,Haryana,,,,,,yes,,,,220,1,22000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,HappyBar,0,141,20-Dec-21,04-Feb-22,,Unseen,Rannvijay Singh,Food,FitSport delicious snacks,https://www.fitsport.me/,2019,3,2,1,,0,Middle,Hyderabad,Telangana,,29,,,,yes,,,,60,2,3000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SoupX,2,158,02-Jan-23,10-Mar-23,03-Jan-23,A Bigger Vision,Rahul Dua,Food,Soup based meals,https://www.soupx.in/,,2,2,,,0,Young,Delhi,Delhi,,,45,,,yes,,,,75,6,1250,1,1,50,18,25,,277.7777778,1,,,,,,,50,18,25,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
2,Flatheads,5,166,02-Jan-23,10-Mar-23,06-Jan-23,Investing in the Future of India,Rahul Dua,Beauty/Fashion,Shoes Sneakers Loafers,https://www.flatheads.in/,2019,1,1,,,0,Middle,Bangalore,Karnataka,,,,,,yes,,,,75,3,2500,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
2,FastBeetle,15,195,02-Jan-23,10-Mar-23,20-Jan-23,Changing The Face Of Indian Entrepreneurship,Rahul Dua,Services,Local courier and parcel service,https://www.fastbeetle.com/,2019,2,2,,,0,Young,Srinagar,Jammu & Kashmir,,25,54,,,yes,,,,90,3,3000,1,1,90,7.5,,,1200,2,,,,,,,,,,,,,45,3.75,,45,3.75,,,,,,,,,,,,,1,,1,1,1,1,,
2,VSMani,16,197,02-Jan-23,10-Mar-23,23-Jan-23,Pitchers Ki Taiyyari,Rahul Dua,Food,Coffee and snacks,https://vsmani.com/,2020,3,3,,,0,Middle,Bangalore,Karnataka,,63,,,,yes,,,,60,1.5,4000,1,1,19,1,41,10,1900,1,,,,19,1,41,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,,
2,Bullspree,19,209,02-Jan-23,10-Mar-23,26-Jan-23,Building Brands For India,Rahul Dua,Technology/Software,App to learn stock market basics,https://bullspree.com/,,3,3,,,0,Middle,Ahmedabad,Gujarat,,,,,,yes,,,,75,1.5,5000,1,1,75,2.86,,,2622.377622,2,,,,,,,,,,,,,37.5,1.43,,37.5,1.43,,,,,,,,,,,,,1,1,1,1,1,,,
2,CloudTailor,21,215,02-Jan-23,10-Mar-23,30-Jan-23,Adhbhut Aur Anokhe Entrepreneurs,Rahul Dua,Services,Custom tailor online,https://www.cloudtailor.com/,,3,2,1,,1,Middle,"Bangalore,Hyderabad","Karnataka,Telangana",,34,,,,yes,,,,100,1.4,7142.857143,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
2,PadCare,23,220,02-Jan-23,10-Mar-23,01-Feb-23,Changing The World,Rahul Dua,Manufacturing,Menstrual hygiene disposal solution,https://www.padcarelabs.com/,,1,1,,,0,Young,Pune,Maharashtra,,14,,,,yes,,,,50,2,2500,1,1,100,4,,,2500,4,,,,25,1,,25,1,,25,1,,,,,25,1,,,,,,,,,,,,,1,1,1,1,1,,,
2,TheGreenSnack,27,233,02-Jan-23,10-Mar-23,07-Feb-23,Nayi Soch Naye Vichaar,Rahul Dua,Food,Healthy Snacks Online,https://thegreensnackco.com/,2017,2,1,1,,1,Middle,Mumbai,Maharashtra,,25,,,,yes,,,,100,2,5000,1,1,100,8,,,1250,1,,,,,,,100,8,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,
2,Barosi,29,242,02-Jan-23,10-Mar-23,09-Feb-23,Pulse Of The Country,Rahul Dua,Food,Fresh & pure milk products,https://www.barosi.in/,2016,1,1,,,0,Middle,Pataudi,Haryana,,42,40,,,yes,,,,50,2,2500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
2,Nirmalaya,31,248,02-Jan-23,10-Mar-23,13-Feb-23,Innovations And Investments,Rahul Dua,Manufacturing,Incense products made from temple flowers,https://nirmalaya.com/,,3,2,1,,1,Middle,Delhi,Delhi,,80,,,,yes,,,,60,1.5,4000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
2,TheHealthyBinge,33,254,02-Jan-23,10-Mar-23,15-Feb-23,Growing With India,Rahul Dua,Food,Assorted Pack Baked Chips,https://www.healthybinge.co.in/,,2,2,,,0,Middle,Pune,Maharashtra,,11,,,,yes,,,,50,5,1000,1,1,50,5,,,1000,2,,,,,,,,,,,,,25,2.5,,25,2.5,,,,,,,,,,,,,1,1,1,1,1,,,
2,Freakins,33,255,02-Jan-23,10-Mar-23,15-Feb-23,Growing With India,Rahul Dua,Beauty/Fashion,Fashionable Denim Apparel,https://freakins.com/,,2,2,,,0,Middle,Mumbai,Maharashtra,,,63,,,yes,,,,70,1,7000,1,1,50,2.5,20,12,2000,1,yes,,,,,,50,2.5,20,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
2,Perfora,34,256,02-Jan-23,10-Mar-23,16-Feb-23,Growing Ideas Into Successful Businesses,Rahul Dua,Furnishing/Household,Toothpaste Electric Toothbrush,https://perforacare.com/,,2,2,,,0,Young,"Ballarpur,Karnal","Haryana,Maharashtra",,,57,,,yes,,,,80,1,8000,1,1,80,2.5,,,3200,3,,,,26.66,0.833,,26.66,0.833,,,,,,,,26.66,0.833,,,,,,,,,,,,,1,1,1,1,1,,,
2,neuphony,36,263,02-Jan-23,10-Mar-23,20-Feb-23,Anokhe Pitchers Ke Anokhe Ideas,Rahul Dua,Medical/Health,Wearable EEG Headband,https://neuphony.com/,2022,2,1,1,,1,Young,Noida,Uttar Pradesh,,,,,,yes,,,,100,2,5000,1,1,100,5.4,,,1851.851852,2,,,,,,,,,,,,,50,2.7,,50,2.7,,,,,,,,,,,,,1,1,1,1,1,,,
2,GladFul,39,274,02-Jan-23,10-Mar-23,23-Feb-23,Revolutionary Ideas And Successful Businesses,Rahul Dua,Food,Natural High Protein Rich & Healthy Foods,https://gladful.in/,2022,2,1,1,,0,Middle,Jaipur,Rajasthan,,24,,,,yes,,,,50,2,2500,1,1,50,3.5,,,1428.571429,3,,,,16.66,1.1666,,,,,,,,16.66,1.1666,,,,,16.66,1.1666,,,,,,,,,,1,,1,1,1,1,,
2,GROWiT,40,280,02-Jan-23,10-Mar-23,24-Feb-23,Creating Valuable Businesses,Rahul Dua,Agriculture,Protective farming products,https://thegrowit.com/,,2,2,,,0,Middle,Surat,Gujarat,,,22,,,yes,,,,100,1,10000,1,1,50,1,50,10,5000,2,,,,25,0.5,25,,,,,,,,,,25,0.5,25,,,,,,,,,,,,1,,1,1,1,1,,
2,ProostBeer,42,285,02-Jan-23,10-Mar-23,28-Feb-23,Building Businesses From Scratch,Rahul Dua,Liquor/Beverages,Freshly brewed beer,https://www.proost69.com/,2018,2,2,,,0,Middle,Delhi,Delhi,,,,,,yes,,,,100,0.75,13333.33333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,,
2,HealthyMaster,44,293,02-Jan-23,10-Mar-23,02-Mar-23,Entrepreneurship Ka Junoon,Rahul Dua,Food,"Online Dry Fruits, Snacks, Berries, Chips",https://healthymaster.in/,2019,3,1,2,,1,Middle,Bangalore,Karnataka,,20,45,,,yes,,,,50,2,2500,1,1,50,6.5,,,769.2307692,1,,,,,,,50,6.5,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
2,TheHealthyFactory,46,303,02-Jan-23,10-Mar-23,06-Mar-23,Different Colours Of Entrepreneurship,Rahul Dua,Food,Protein bread,https://www.thehealthfactory.in/,2018,2,2,,,0,Young,Mumbai,Maharashtra,,,56,,,yes,,,,75,2.1,3571.428571,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
2,LilGoodness,48,310,02-Jan-23,10-Mar-23,08-Mar-23,"Pitchers, Investments And Businesses",Rahul Dua,Food,Healthy Snacks,https://lilgoodness.com/,2020,2,2,,,0,Middle,Bangalore,Karnataka,,145,65,,,yes,,,,100,1,10000,1,1,50,1,50,10,5000,1,,,,,,,,,,,,,,,,50,1,50,,,,,,,,,,,,1,1,1,1,1,1,,
2,WickedGud,49,313,02-Jan-23,10-Mar-23,09-Mar-23,Businesses Adding Value To Society,Rahul Dua,Food,High Protein & Fiber Gluten Free Vegan food,https://wickedgud.com/,2021,3,3,,,0,Middle,Mumbai,Maharashtra,,,,,,yes,,,,50,1,5000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,
2,MYBYK,50,316,02-Jan-23,10-Mar-23,10-Mar-23,Season Finale With The Sharks,Rahul Dua,Vehicles/Electrical Vehicles,IoT-enabled bikes,https://mybyk.in/,,1,1,,,0,Middle,Ahmedabad,Gujarat,,,,,,yes,,,,200,1,20000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,
2,GODESi,51,317,02-Jan-23,10-Mar-23,10-Mar-23,Gateway To Shark Tank India,Rahul Dua,Food,Handmade lollipops,https://godesi.in/,,2,1,1,,0,Middle,Bangalore,Karnataka,,270,,,,yes,,,,90,0.5,18000,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vikas D Nahar,1,1,,1,,1,,1
2,TAC,51,318,02-Jan-23,10-Mar-23,10-Mar-23,Gateway To Shark Tank India,Rahul Dua,Beauty/Fashion,"ayurveda co for glowing skin, makeup & open pores",https://theayurvedaco.com/,,2,1,1,,1,Middle,Mumbai,Maharashtra,,,,,,yes,,,,150,0.5,30000,1,1,81,1,69,12,8100,2,,,,,,,,,,,,,40.5,0.5,34.5,,,,,,,,,,40.5,0.5,34.5,Vikas D Nahar,Vikas D Nahar,1,1,,1,,1,,1
2,ZenOnco,0,321,02-Jan-23,10-Mar-23,,Unseen,Rahul Dua,Medical/Health,saving lives from cancer,https://zenonco.io/,,2,1,1,,0,Middle,Jodhpur,Rajasthan,,21,,,,yes,,,,100,1,10000,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vikas D Nahar,1,1,,1,,1,,1
3,AdilQadri,1,323,22-Jan-24,31-Mar-24,22-Jan-24,Bigger Better and Smarter,Rahul Dua,Beauty/Fashion,Perfumes and Attar,https://www.adilqadri.com/,2020,1,1,,,0,Young,Bilimora,Gujarat,2070,600,70,,,yes,,,,100,0.5,20000,1,1,100,1,,,10000,1,,1,,,,,100,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,
3,RodBez,3,328,22-Jan-24,31-Mar-24,24-Jan-24,Quest For Investment,Rahul Dua,Vehicles/Electrical Vehicles,Taxi-service for Bihar,https://rodbez.in/,2022,2,2,,,0,Middle,Saharsa,Bihar,,6,,,,yes,,,,50,5,1000,1,1,20,5,30,12,400,2,,,,,,,10,2.5,15,,,,,,,,,,,,,,,,10,2.5,15,Ritesh Aggarwal,Ritesh Aggarwal,,1,1,1,1,,,1
3,Homversity,3,330,22-Jan-24,31-Mar-24,24-Jan-24,Quest For Investment,Rahul Dua,Technology/Software,Digital student housing app,https://www.homversity.com/,2022,1,1,,,0,Young,Ahmedabad,Gujarat,,100,,,,yes,,,,65,2,3250,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ritesh Aggarwal,,1,1,1,1,,,1
3,Bartisans,5,336,22-Jan-24,31-Mar-24,26-Jan-24,Innovative Ventures Vie For Sharks' Favour,Rahul Dua,Liquor/Beverages,Cocktail Mocktail mixers,https://www.bartisans.in/,2021,2,1,1,,0,Middle,Mumbai,Maharashtra,143,35,70,,,yes,,,,100,2.5,4000,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ritesh Aggarwal,Radhika Gupta",,1,,1,1,,,2
3,Aretto,6,337,22-Jan-24,31-Mar-24,29-Jan-24,Nurturing The Spirit Of Entrepreneurship,Rahul Dua,Manufacturing,Expandable Shoes For Kids,https://wearetto.com/,2020,1,1,,,0,Middle,Pune,Maharashtra,700,60,57,,,yes,5,yes,,80,1,8000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
3,WYLDCard,8,344,22-Jan-24,31-Mar-24,31-Jan-24,Entrepreneurial Innovation,Rahul Dua,Technology/Software,Customer as Infulencer,https://www.getwyld.in/,2023,3,3,,,0,Middle,Mumbai,Maharashtra,,,,,,yes,,,,50,0.5,10000,1,1,75,1.5,,,5000,1,,,,,,,,,,75,1.5,,,,,,,,,,,,,,,,,,Azhar Iqubal,1,,1,,1,1,,1
3,upliance.ai,8,345,22-Jan-24,31-Mar-24,31-Jan-24,Entrepreneurial Innovation,Rahul Dua,Furnishing/Household,Smart Cooker,upliance.ai,2021,2,2,,,0,Middle,Bangalore,Karnataka,,,,,,yes,,yes,,100,1,10000,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azhar Iqubal,1,,1,,1,1,,1
3,RooftopApp,9,348,22-Jan-24,31-Mar-24,01-Feb-24,Entrepreneurial Brilliance,Rahul Dua,Technology/Software,Art Learning platform,https://rooftopapp.com/,2019,1,1,,,0,Middle,Mumbai,Maharashtra,,,,,,yes,,,,200,4,5000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deepinder Goyal,1,1,1,1,,,,1
3,EvaScalp,11,353,22-Jan-24,31-Mar-24,05-Feb-24,Disrupting The Status Quo,Rahul Dua,Medical/Health,Post Chemo Scalp Cooling brand,https://evascalpcooling.co.in/,2020,1,1,,,0,Middle,Mumbai,Maharashtra,59,10,85,,,yes,,yes,,30,1.2,2500,1,1,30,1.8,,,1666.666667,3,,,,10,0.6,,,,,,,,10,0.6,,,,,,,,,,,10,0.6,,Ritesh Aggarwal,Ritesh Aggarwal,1,1,1,1,,,,1
3,Elitty,11,354,22-Jan-24,31-Mar-24,05-Feb-24,Disrupting The Status Quo,Rahul Dua,Beauty/Fashion,Teenage Make-up,https://elittybeauty.com/,,2,,2,,0,Middle,Gurgaon,Haryana,113,11,36,,,yes,,,,100,4,2500,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ritesh Aggarwal,1,1,1,1,,,,1
3,DecodeAge,14,363,22-Jan-24,31-Mar-24,08-Feb-24,Pitch Perfect,Rahul Dua,Medical/Health,Age Longetivity Supplements,https://decodeage.com/,2021,3,3,,,0,Middle,Bangalore,Karnataka,1100,,70,,,yes,10,,,100,1.25,8000,1,1,100,2.25,,,4444.444444,1,,1,,,,,,,,100,2.25,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,
3,AltCo,16,367,22-Jan-24,31-Mar-24,12-Feb-24,Innovation At Every Step,Rahul Dua,Food,Plant based dairy products,https://alt.company/,2020,2,2,,,0,Middle,Bangalore,Karnataka,1000,110,,,,yes,,,,150,2,7500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ronnie Screwvala,Radhika Gupta",,,1,1,1,,,2
3,ToffeeCoffeeRoasters,19,378,22-Jan-24,31-Mar-24,15-Feb-24,The Next Big Investment,Rahul Dua,Liquor/Beverages,Coffee brand,https://toffeecoffeeroasters.com/,2019,2,1,1,,1,Middle,Bangalore,Karnataka,230,33,62,,,yes,,,,60,2,3000,1,1,35,2.33,25,10,1502.145923,1,,,,,,,,,,,,,,,,,,,,,,,,,35,2.33,25,Ritesh Aggarwal,"Ritesh Aggarwal,Radhika Gupta",,1,,1,1,,,2
3,ORBO,20,380,22-Jan-24,31-Mar-24,16-Feb-24,Pioneering Change,Rahul Dua,Technology/Software,AI-powered tools for beauty brands,https://www.orbo.ai/,2019,3,3,,,0,Middle,Mumbai,Maharashtra,,18,,,,yes,,,,100,0.75,13333.33333,1,1,100,1,,,10000,1,yes,,,,,,100,1,,,,,,,,,,,,,,,,,,,,,Azhar Iqubal,,1,1,1,1,,,1
3,D'chica,22,385,22-Jan-24,31-Mar-24,20-Feb-24,Impressive Numbers and High Stakes,Rahul Dua,Beauty/Fashion,Innerwears for Teenage Girls,https://www.dchica.in/,2020,2,,2,,0,Middle,Delhi,Delhi,1030,120,,,,yes,,,,80,1,8000,1,1,80,2,,,4000,2,,1,,40,1,,40,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,
3,Artinci,23,388,22-Jan-24,31-Mar-24,21-Feb-24,Celebrating Entrepreneurial Breakthroughs,Rahul Dua,Food,Zero Sugar Desserts,https://www.artinci.com/,2017,2,1,1,,1,Middle,Bangalore,Karnataka,440,33,62,,,yes,,yes,,50,1.75,2857.142857,1,1,50,5,,,1000,1,yes,1,,,,,50,5,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,
3,Aroleap,26,397,22-Jan-24,31-Mar-24,26-Feb-24,Entrepreneurship On The Rise,Rahul Dua,Medical/Health,Smart Home Gym,https://www.aroleap.com/,2020,3,3,,,0,Middle,Bangalore,Karnataka,100,,,,,yes,,yes,funded,100,2.5,4000,1,1,100,5,,,2000,4,,,,,,,,,,25,1.25,,,,,25,1.25,,25,1.25,,,,,25,1.25,,Azhar Iqubal,Azhar Iqubal,1,,1,,1,1,,1
3,AvataarSkincare,30,409,22-Jan-24,31-Mar-24,01-Mar-24,Startups Pursuing Investment,Rahul Dua,Beauty/Fashion,Skincare Services,https://avataarskin.com/,2022,1,,1,,0,Middle,Bhopal,Madhya Pradesh,,60,87,,,yes,,,funded,70,1,7000,1,1,35,0.5,35,14,7000,2,,,,,,,,,,17.5,0.25,17.5,17.5,0.25,17.5,,,,,,,,,,,,,,,1,1,1,1,1,,,
3,Niblerzz,34,422,22-Jan-24,31-Mar-24,07-Mar-24,Visionary Brands Shine Bright,Rahul Dua,Food,Sugar Free Candy,https://niblerzz.com/,2022,2,,2,,0,Middle,Mumbai,Maharashtra,16,5.5,,,-20,yes,,,yes,50,3,1666.666667,1,1,10,5,40,10,200,1,,,,,,,,,,,,,10,5,40,,,,,,,,,,,,,,Azhar Iqubal,,1,1,1,1,,,1
3,Sorich,34,423,22-Jan-24,31-Mar-24,07-Mar-24,Visionary Brands Shine Bright,Rahul Dua,Food,Guilt free Snacks,https://sorichorganics.com/,,2,1,1,,1,Middle,Delhi,Delhi,706,55,48,,,yes,67,,yes,90,2.5,3600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azhar Iqubal,,1,1,1,1,,,1
3,CremeCastle,35,425,22-Jan-24,31-Mar-24,08-Mar-24,Inspiring Women Entrepreneurs,Rahul Dua,Food,Customised Cakes and bakery products,https://cremecastle.in/,2015,2,1,1,,1,Middle,Noida,Uttar Pradesh,720,,65,,19,yes,,,,60,1.5,4000,1,1,60,2.5,,,2400,1,,,,,,,,,,,,,,,,,,,60,2.5,,,,,,,,,,1,1,1,1,,1,,
3,Cup-ji,38,433,22-Jan-24,31-Mar-24,13-Mar-24,Thoughts And Innovations,Rahul Dua,Liquor/Beverages,Flavoured Instant Tea in Cups,https://cupji.com/,2022,2,2,,,0,Middle,Mumbai,Maharashtra,62,3.5,40,,,yes,,,,50,5,1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,
3,AToddlerThing,38,434,22-Jan-24,31-Mar-24,13-Mar-24,Thoughts And Innovations,Rahul Dua,Beauty/Fashion,Baby Clothing and Essentials,https://www.atoddlerthing.com/,2017,2,1,1,,0,Middle,Coimbatore,Tamil Nadu,478,73,52,,4,yes,28,,funded,80,2,4000,1,1,40,2,40,,2000,1,,1,,,,,,,,,,,,,,,,,40,2,40,,,,,,,,,1,1,1,1,,1,,
3,iDreamCareer,39,437,22-Jan-24,31-Mar-24,14-Mar-24,Sustainability Careers And Spirits,Rahul Dua,Technology/Software,Career Counseling Platform,https://idreamcareer.com/,2012,2,2,,,0,Middle,"Delhi,Bangalore","Delhi,Karnataka",840,,,,,yes,,,funded,110,1.28,8593.75,1,1,60,1,50,8,6000,2,yes,,,,,,,,,,,,30,0.5,25,,,,,,,,,,30,0.5,25,Ritesh Aggarwal,Ritesh Aggarwal,,1,1,1,1,,,1
3,RockPaperRum,39,438,22-Jan-24,31-Mar-24,14-Mar-24,Sustainability Careers And Spirits,Rahul Dua,Liquor/Beverages,Innovative Indian Rum,https://www.rockpaperrum.com/,2022,1,1,,,0,Middle,Mumbai,Maharashtra,,,,,,yes,,,funded,50,2,2500,1,1,20,1,30,10,2000,1,,,,,,,20,1,30,,,,,,,,,,,,,,,,,,,,Ritesh Aggarwal,,1,1,1,1,,,1
3,Sukham,40,440,22-Jan-24,31-Mar-24,15-Mar-24,Shaping A Healthier Future,Rahul Dua,Medical/Health,Holistic sexual male wellness,https://www.sukham.life/,,4,3,1,,1,Middle,Delhi,Delhi,47,21,,,,yes,1,,funded,100,3.33,3003.003003,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deepinder Goyal,1,1,1,1,,,,1
3,KaabilKids,42,446,22-Jan-24,31-Mar-24,19-Mar-24,From Tactics To Wellness,Rahul Dua,Technology/Software,Online Chess Training Academy,https://kaabilkids.com/,2019,3,2,1,,0,Middle,Noida,Uttar Pradesh,,29,,,,yes,,,funded,70,2,3500,1,1,50,2.5,20,12,2000,2,,,,25,1.25,10,,,,,,,25,1.25,10,,,,,,,,,,,,,,,1,1,1,1,,1,,
3,OddGiraffe,42,447,22-Jan-24,31-Mar-24,19-Mar-24,From Tactics To Wellness,Rahul Dua,Furnishing/Household,Journals and Planners for Mental Wellness,https://www.oddgiraffe.com/,2019,2,2,,,0,Middle,Mumbai,Maharashtra,410,27,80,,,yes,,,funded,75,7.5,1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,
3,Nemocare,43,448,22-Jan-24,31-Mar-24,20-Mar-24,Groundbreaking Ventures,Rahul Dua,Medical/Health,NeoNatel Wearable Vital Monitor,https://nemocare.in/,2016,2,1,1,,0,Middle,"Hyderabad,Bangalore","Telangana,Karnataka",90,,66,,,yes,,yes,,100,2.5,4000,1,1,20,0.67,80,10,2985.074627,1,,,,,,,,,,,,,20,0.67,80,,,,,,,,,,,,,,"Ritesh Aggarwal,Radhika Gupta",,1,,1,1,,,2
3,Coolant,44,451,22-Jan-24,31-Mar-24,21-Mar-24,Venturing Into Tomorrow,Rahul Dua,Manufacturing,Nature-Based Cooling Technology,https://www.coolant.co/,,1,1,,,0,Middle,Noida,Uttar Pradesh,110,,,,,yes,,,,90,1,9000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ritesh Aggarwal,1,1,1,1,,,,1
3,FarmDidi,45,454,22-Jan-24,31-Mar-24,22-Mar-24,From Fields To Roads,Rahul Dua,Food,Food Business training App,https://www.farmdidi.com/,2021,3,1,2,,0,Middle,"Amravati,Lucknow,Bahadurgarh","Maharashtra,Uttar Pradesh,Haryana",60,10,65,,,yes,,,funded,50,2,2500,1,1,100,10,,,1000,2,,,,,,,50,5,,,,,,,,50,5,,,,,,,,,,,,,1,1,1,1,1,,,
3,Allter,48,463,22-Jan-24,31-Mar-24,27-Mar-24,Captivating The Sharks,Rahul Dua,Furnishing/Household,Certified Organic Rash-Free Diapers,https://letsallter.com/,2020,1,,1,,0,Middle,Delhi,Delhi,1000,,,,-6,yes,,,yes,100,2.5,4000,1,1,100,4,,,2500,3,,,,,,,,,,33.33,1.33,,33.33,1.33,,,,,,,,,,,33.33,1.33,,Ritesh Aggarwal,Ritesh Aggarwal,1,,1,1,,1,,1
3,Shararat,48,465,22-Jan-24,31-Mar-24,27-Mar-24,Captivating The Sharks,Rahul Dua,Furnishing/Household,Bedroom intimacy Fashion,https://shararat.in/,2020,2,1,1,,1,Middle,Noida,Uttar Pradesh,330,27,,,,yes,,,funded,60,7,857.1428571,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ritesh Aggarwal,1,,1,1,,1,,1
3,DigitalPaani,52,478,22-Jan-24,31-Mar-24,31-Mar-24,Ecopreneur Special,Snehil Dixit Mehra,Manufacturing,"Manage plants, deliver safe, compliant operations",https://www.digitalpaani.com/,2020,2,1,1,,0,Middle,Jaipur,Rajasthan,220,,30,,,yes,,,funded,70,1,7000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Azhar Iqubal,Radhika Gupta",1,,1,1,,,,2
1,BluePineFoods,1,1,20-Dec-21,04-Feb-22,20-Dec-21,Badlegi Business Ki Tasveer,Rannvijay Singh,Food,Frozen Momos,https://bluepinefoods.com/,2016,3,2,1,,0,Middle,Delhi,Delhi,95,8,,,,,,,,50,5,1000,1,1,75,16,,,469,3,,,,,,,25,5.33,,,,,25,5.33,,,,,,,,25,5.33,,,,,,,1,1,1,1,,,1,
